Price,Close,High,Low,Open,Volume,5_Month_MA,10_Month_MA,20_Month_MA,30_Month_MA,60_Month_MA,120_Month_MA,233_Month_MA,5_Month_MA_Slope,10_Month_MA_Slope,20_Month_MA_Slope,30_Month_MA_Slope,60_Month_MA_Slope,120_Month_MA_Slope,233_Month_MA_Slope
Ticker,399001.SZ,399001.SZ,399001.SZ,399001.SZ,399001.SZ,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,
2002-11-01,2920.687255859375,3189.1041711757557,2757.67907196102,3035.806083591986,0,3208.6380859375,3208.8190673828126,3557.16064453125,3951.2424153645834,3851.7155314127604,,,-126.12060546875,-6.197924804687318,-102.26236572265634,-57.41403808593759,-22.46258544921875,,
2002-12-01,2759.269287109375,2938.8173342457644,2738.5195184382096,2919.057544772189,0,3079.3595703125,3181.800390625,3454.9973266601564,3882.1975341796874,3827.9568033854166,,,-129.27851562499973,-27.0186767578125,-102.16331787109357,-69.04488118489598,-23.75872802734375,,
2003-01-01,3051.185791015625,3069.095502498626,2673.2200543223735,2743.1792315701937,0,3002.236376953125,3169.5325439453127,3364.6858154296874,3820.767887369792,3809.3893513997396,,,-77.12319335937536,-12.267846679687409,-90.31151123046902,-61.42964680989553,-18.567451985677053,,
2003-02-01,3057.205810546875,3082.3256468935647,2980.8267816550792,3048.775973152181,0,2964.898828125,3149.9107666015625,3281.703747558594,3761.7998942057293,3792.315380859375,,,-37.33754882812491,-19.621777343750182,-82.98206787109348,-58.96799316406259,-17.07397054036437,,
2003-03-01,3101.825439453125,3102.055417351496,2954.0470618211416,3058.2358387475288,0,2978.034716796875,3156.3967041015626,3233.846789550781,3714.407080078125,3776.2917277018228,,,13.135888671874909,6.485937500000091,-47.856958007812864,-47.3928141276042,-16.023653157552417,,
2003-04-01,3260.71337890625,3525.8305185613826,3092.5951498557038,3105.245154267795,0,3046.03994140625,3127.339013671875,3203.8736206054687,3670.6585611979167,3760.9552286783855,,,68.00522460937509,-29.057690429687682,-29.97316894531241,-43.748518880208394,-15.336499023437227,,
2003-05-01,3503.65087890625,3521.090625875286,3191.394350515072,3264.903540720518,0,3194.916259765625,3137.1379150390626,3204.1266235351563,3626.4034016927085,3749.5990275065105,,,148.8763183593751,9.798901367187682,0.2530029296876819,-44.25515950520821,-11.356201171875,,
2003-06-01,3224.77392578125,3514.8307343585584,3202.874024679974,3502.640685398236,0,3229.63388671875,3115.9351318359377,3193.4407348632812,3575.4726399739584,3741.0602905273436,,,34.71762695312509,-21.20278320312491,-10.685888671875091,-50.93076171875009,-8.53873697916697,,
2003-07-01,3318.3828125,3459.6012039621082,3206.8940690408836,3223.0340252669894,0,3281.869287109375,3123.3840576171874,3183.674353027344,3527.9748372395834,3733.9672037760415,,,52.23540039062482,7.448925781249727,-9.766381835937409,-47.497802734375,-7.093086751302053,,
2003-08-01,3192.33447265625,3376.012353411538,3143.3547949374556,3319.1829098249596,0,3299.97109375,3139.0029052734376,3177.0099487304688,3485.949641927083,3732.9150512695314,,,18.101806640625,15.618847656250182,-6.664404296875091,-42.02519531250027,-1.0521525065100832,,
2003-09-01,3054.86572265625,3272.503424312609,3012.1262106174154,3194.2242708503027,0,3258.8015625,3152.420751953125,3180.619909667969,3422.247347005208,3729.1072591145835,,,-41.16953125000009,13.4178466796875,3.609960937500091,-63.70229492187491,-3.807792154947947,,
2003-10-01,3167.3046875,3236.6737852210385,3046.6759087928785,3056.1457736530397,0,3191.53232421875,3193.2242919921873,3187.512341308594,3367.7396484375,3730.020585123698,,,-67.26923828124973,40.80354003906223,6.892431640625091,-54.5076985677083,0.9133260091143711,,
2003-11-01,3267.9033203125,3379.0622308827824,3097.455279231922,3161.4946006507944,0,3200.158203125,3214.896044921875,3192.2142944335938,3314.755891927083,3731.131237792969,,,8.625878906249909,21.6717529296875,4.701953124999818,-52.9837565104167,1.1106526692710759,,
